Tg,Tx,Tl,Dmax
458,485,851,0.2
670,708,1226,0.2
428,488,843,0.3
426,439,734,0.3
429,451,733,0.3
407,439,809,0.3
474,474,803,0.4
447,475,791,0.4
394,426,805,0.5
405,436,842,0.5
440,485,919,0.5
348,383,654,0.5
395,430,694,0.5
399,428,714,0.5
397,422,770,0.5
389,419,671,0.5
380,400,666,0.5
405,429,691,0.5
371,397,688,0.5
367,399,657,0.5
710,732,1265,0.5
402,419,921,0.5
404,429,763,0.5
451,479,796,0.5
748,803,1366,0.5
393,427,880,0.5
433,463,831,0.5
407,463,877,0.5
387,419,696,0.5
403,424,757,0.5
387,405,759,0.5
356,385,702,0.5
815,858,1455,0.5
397,418,759,0.5
451,480,812,0.5
449,478,797,0.5
853,891,1391,0.5
770,795,1446,0.5
454,471,878,0.6
399,426,765,0.7
451,488,887,0.7
486,526,920,0.7
642,683,1134,0.7
867,919,1469,0.75
635,675,1086,0.75
444,498,812,0.8
414,445,805,0.8
452,487,809,1
375,418,751,1
528,540,873,1
709,762,1199,1
719,752,1257,1
676,714,1276,1
719,757,1305,1
710,750,1296,1
836,882,1459,1
812,870,1425,1
779,795,1292,1
717,767,1318,1
405,431,724,1
453,498,811,1
457,492,828,1
417,473,751,1
413,446,784,1
891,924,1478,1
683,739,1169,1
641,680,1167,1
686,759,1283,1
726,800,1310,1
395,420,664,1
401,436,717,1
379,430,717,1
377,409,744,1
385,407,713,1
727,754,1251,1
708,731,1228,1
401,423,884,1
745,785,1241,1
725,758,1264,1
866,891,1469,1
861,901,1543,1
724,766,1305,1
840,872,1486,1
830,852,1505,1
740,774,1263,1
687,752,1284,1
400,426,743,1
453,510,841,1
457,490,824,1
453,492,826,1
423,456,744,1
455,481,800,1
819,854,1288,1
848,898,1348,1
762,795,1408,1
748,794,1245,1
391,425,796,1.1
426,466,797,1.2
389,410,843,1.3
392,410,864,1.5
720,759,1263,1.5
643,698,1220,1.5
872,907,1470,1.5
874,910,1503,1.5
858,893,1485,1.5
819,865,1494,1.5
839,862,1496,1.5
707,743,1286,1.5
742,780,1268,1.5
453,494,828,1.5
467,489,844,1.5
860,891,1390,1.5
382,402,705,1.5
367,402,743,1.5
636,690,1078,1.5
630,689,1200,1.5
640,710,1220,1.5
811,856,1379,1.5
394,414,821,1.5
395,410,831,1.5
744,777,1218,1.5
833,894,1452,1.5
833,891,1432,1.5
826,882,1410,1.5
821,860,1421,1.5
740,790,1276,1.5
835,885,1369,1.5
835,880,1475,1.5
405,431,674,1.5
430,457,756,1.5
887,911,1458,1.5
637,678,1058,1.5
395,410,760,1.5
673,720,1225,1.5
750,808,1244,1.5
703,736,1275,1.8
700,733,1270,1.8
384,416,854,2
398,430,825,2
395,427,702,2
399,426,720,2
390,416,676,2
512,523,831,2
388,420,711,2
386,405,679,2
910,982,1526,2
819,895,1417,2
803,843,1457,2
677,706,1138,2
685,720,1206,2
712,799,1275,2
712,739,1187,2
733,777,1187,2
717,750,1204,2
817,856,1359,2
823,868,1496,2
847,927,1366,2
818,859,1414,2
825,866,1396,2
897,981,1497,2
896,941,1414,2
959,1019,1438,2
883,926,1507,2
855,903,1416,2
898,950,1413,2
880,957,1406,2
853,942,1401,2
744,801,1283,2
848,873,1483,2
840,865,1492,2
809,864,1475,2
860,945,1385,2
553,603,955,2
426,491,881,2
395,449,731,2
763,856,1364,2
830,876,1304,2
875,902,1413,2
826,896,1379,2
867,927,1379,2
755,795,1381,2
645,685,1136,2
642,686,1128,2
650,692,1167,2
709,767,1240,2
668,719,1192,2
775,828,1258,2
696,746,1201,2
753,802,1245,2
407,427,809,2
393,427,651,2
402,439,731,2
383,428,702,2
483,531,868,2
377,412,659,2
685,757,1232,2
391,420,851,2
410,470,918,2
392,421,828,2
736,779,1193,2
787,833,1230,2
705,745,1233,2
707,746,1227,2
704,760,1267,2
831,912,1365,2
821,868,1477,2
887,925,1509,2
898,944,1420,2
880,925,1509,2
845,929,1357,2
729,777,1296,2
854,887,1467,2
782,801,1290,2
855,881,1419,2
848,923,1396,2
842,880,1420,2
850,883,1472,2
836,899,1448,2
831,879,1391,2
733,766,1300,2
736,788,1247,2
832,877,1460,2
416,483,787,2
533,492,823,2
454,499,831,2
454,493,824,2
456,492,824,2
767,833,1367,2
934,961,1559,2
836,897,1378,2
824,885,1385,2
426,449,731,2
652,680,1154,2
633,670,1097,2
650,692,1167,2
666,715,1156,2
688,733,1207,2
695,749,1230,2
422,474,919,2
729,780,1282,2
413,432,803,2.5
675,735,1255,2.5
882,927,1494,2.5
847,883,1461,2.5
852,885,1458,2.5
844,914,1440,2.5
738,798,1230,2.5
780,832,1258,2.5
742,783,1264,2.5
830,880,1431,2.5
750,795,1356,2.5
761,840,1245,2.5
